P0001,Kreutzer Sonata no 9.,Beethoven,Planned,Technical,5,Week,fdakbfjsbjkbkjshjkhlkhslhfksjbajkhgskahfkjdhskhakshdf dsfhks dfkjhkajshdf sejkfhksad fkjhskahfkjhd sdhfjh saf djdhfjshkser cjhbrw dkihvzmb,M0002/:M0008/:M0001/:M0012/:M0018/:M0011/:M0003/:M0004/:M0005/:M0006/:M0007/:M0014/:M0009,G0001/:G0002/:G0000/:G0023/:G0024,R0002/:R0000/:R0001/:R0023
P0002,Clair de Lune,Debussy,Active,Performance,4,Week,Focus on phrasing and tone,M0001/:M0038/:M0003/:M0005,G0003/:G0004/:G0026,R0003/:R0004
P0003,Invention No 8,Bach,Completed,Performance,3,Week,Improve articulation and independence,M0013/:M0015,G0005,R0005
P0004,Sonatina in C Major,Clementi,Active,Technical,4,Week,Work on scales and passagework,M0002/:M0026/:M0042,G0006/:G0007,R0006/:R0007
P0005,Für Elise,Beethoven,Planned,Performance,2,Week,Learn the opening section,M0003/:M0015,G0008,R0008/:R0009
P0006,Prelude in C Major,Bach,Active,Performance,5,Week,Focus on evenness and harmonic flow,M0001/:M0014,G0009/:G0010,R0010
P0007,Arabesque No. 1,Debussy,Active,Performance,3,Fortnight,Develop a softer and more expressive sound,M0006/:M0038,G0011/:G0012,R0011/:R0012
P0008,Sonata in C Major K 545,Mozart,Completed,Performance,2,Week,Review articulation and balance,M0002/:M0017,,
P0009,Etude Op. 10 No. 5,Chopin,Active,Technical,0,Week,Improve accuracy at performance tempo,M0002/:M0024,G0013/:G0014/:G0015,R0013/:R0014
P0010,The Entertainer,Joplin,Planned,Performance,1,Week,Learn the main theme and rhythm,M0010/:M0020,G0016,R0015
P0011,Gymnopédie No. 1,Satie,Active,Performance,3,Month,Develop controlled tone and phrasing,M0001/:M0037,G0017,R0016
P0012,Sonata in A Major K 331,Mozart,Active,Performance,2,Week,Focus on ornamentation and phrasing,M0021/:M0022/:M0038,G0018/:G0019,R0017/:R0018
P0013,Prelude Op. 28 No. 4,Chopin,Completed,Performance,2,Fortnight,Maintain a consistent melodic line,M0001/:M0014/:M0039,,R0019
P0014,Chromatic Scale Exercise,Various,Active,Scale/Arpeggio,5,Week,Improve finger independence and evenness,M0024/:M0025,G0020/:G0021/:G0022,
P0015,Reading Exercise No. 1,Various,Planned,Sight Reading,3,Week,Improve reading accuracy without stopping,M0018/:M0045,,R0020/:R0021
P0017,Symphony no .16,Mozart,Active,Performance,1,Week,,,,
P0000,Partita No.2,Bach,Planned,Performance,12,Fortnight,,,,R0022
P0018,Hungarian Rhapsody No.2,Liszt,Active,Performance,5,Week,,,,
