G0001,Better Dynamic Control,Active,Dynamic,Better Dynamics,100
G0002,Consistent Forte,Active,Dynamic,Maintain an even forte throughout the movement,40
G0003,Improve Phrasing,Active,Dynamic,Shape longer musical phrases more clearly,70
G0004,Improve Tone Quality,Active,Dynamic,Develop a warmer and more controlled tone,80
G0005,Improve Articulation,Completed,Technique,Make articulation more consistent between passages,65
G0006,Scale Accuracy,Active,Technique,Play scales evenly without hesitation,80
G0007,Passagework Speed,Active,Tempo,Increase speed while maintaining accuracy,23
G0008,Learn Opening Theme,Planned,Technique,Learn the notes and rhythm of the opening,30
G0009,Even Accompaniment,Active,Dynamic,Maintain consistent accompaniment patterns,50
G0010,Harmonic Flow,Active,Expression,Connect the harmony smoothly between chords,80
G0011,Soft Dynamics,Active,Dynamic,Maintain a controlled piano dynamic,70
G0012,Expressive Phrasing,Active,Expression,Create clearer rises and falls in phrases,65
G0013,Performance Tempo,Active,Tempo,Reach the target tempo without losing accuracy,60
G0014,Right Hand Accuracy,Active,Technique,Improve accuracy in the rapid passages,75
G0015,Relaxed Technique,Active,Technique,Reduce unnecessary tension while playing quickly,55
G0016,Rhythm Accuracy,Planned,Tempo,Maintain the characteristic ragtime rhythm,25
G0017,Tone Control,Active,Dynamic,Produce a controlled sound at quiet dynamics,80
G0018,Ornament Accuracy,Active,Technique,Play ornaments cleanly and consistently,70
G0019,Melodic Expression,Active,Expression,Bring out the melody above the accompaniment,75
G0020,Chromatic Accuracy,Active,Technique,Play the chromatic scale evenly,1
G0021,Scale Speed,Active,Tempo,Gradually increase chromatic scale speed,65
G0022,Finger Independence,Active,Technique,Improve independence between fingers,0
G0000,Gradual Crescendo,Completed,Tempo,fdfdfd,0
G0023,Consistent Andante,Planned,Tempo,Just a Note,40
G0026,Crescendo,Planned,Expression,notes,0
G0024,Gradual Crescendo,Active,Dynamic,Ensure that bar 180 - 182 Crescendo is not too sudden.,50
